kingdom,kingdom_cnt,phylum,phylum_cnt,class,class_cnt,order,order_cnt
,,,,,,Steatornithiformes,1
,,,,,,Sphenisciformes,19
,,,,,,Podicipediformes,22
,,,,,,Gaviiformes,5
,,,,,,Gruiformes,154
,,,,,,Galliformes,289
,,,,,,Pelecaniformes,111
,,,,,,Ciconiiformes,19
,,,,,,Anseriformes,161
,,,,,,Musophagiformes,23
,,,,,,Cuculiformes,140
,,,,,,Strigiformes,239
,,,,,,Psittaciformes,359
,,,,,,Columbiformes,344
,,,,,,Falconiformes,66
,,Mollusca,65442,Gastropoda,53461,Stylommatophora,11940
,,,,,,Littorinimorpha,8842
,,,,,,Not assigned,8963
,,,,,,Neogastropoda,13865
,,,,,,Nudibranchia,2406
,,,,,,Cephalaspidea,766
,,,,,,Umbraculida,10
,,,,,,Runcinida,58
,,,,,,Trochida,2088
,,,,,,Pteropoda,138
,,,,,,Systellommatophora,137
,,,,,,Lepetellida,850
,,,,,,Architaenioglossa,1542
,,,,,,Cycloneritida,649
,,,,,,Pleurobranchida,87
,,,,,,Siphonariida,110
,,,,,,Pleurotomariida,37
,,,,,,Seguenziida,658
,,,,,,Ellobiida,244
,,,,,,Aplysiida,71
,,,,Bivalvia,9115,Cardiida,1236
,,,,,,Arcida,617
,,,,,,Limida,205
,,,,,,Carditida,398
,,,,,,Galeommatida,608
,,,,,,Gastrochaenida,30
,,,,,,Solemyida,56
,,,,,,Nuculida,168
,,,,,,Sphaeriida,106
,,,,,,Lucinida,514
,,,,,,Pectinida,602
,,,,,,Unionida,568
,,,,,,Trigoniida,8
,,,,,,Ostreida,219
,,,,,,Venerida,1428
,,,,,,Myida,361
,,,,,,Mytilida,416
,,,,,,Adapedonta,163
,,,,,,Not assigned,886
,,,,,,Nuculanida,526
,,,,Scaphopoda,576,Gadilida,279
,,,,,,Dentaliida,297
,,,,Polyplacophora,1027,Lepidopleurida,176
,,,,,,Chitonida,851
,,,,Monoplacophora,30,Tryblidiida,30
,,,,Cephalopoda,808,Spirulida,1
,,,,,,Vampyromorpha,1
,,,,,,Sepiida,196
,,,,,,Oegopsida,248
,,,,,,Not assigned,13
,,,,,,Octopoda,295
,,,,,,Nautilida,5
,,,,,,Myopsida,49
,,,,Caudofoveata,141,Chaetodermatida,141
,,,,Solenogastres,284,Pholidoskepia,60
,,,,,,Sterrofustia,13
,,,,,,Neomeniamorpha,26
,,,,,,Cavibelonia,185
,,Nemertea,1371,Pilidiophora,486,Heteronemertea,472
,,,,,,Not assigned,14
,,,,Palaeonemertea,120,Not assigned,120
,,,,Hoplonemertea,734,Monostilifera,582
,,,,,,Polystilifera,152
,,,,Not assigned,31,Not assigned,31
,,Orthonectida,25,Not assigned,25,Not assigned,25
,,Echinodermata,6723,Echinoidea,996,Camarodonta,187
,,,,,,Micropygoida,2
,,,,,,Pedinoida,13
,,,,,,Aspidodiadematoida,18
,,,,,,Arbacioida,25
,,,,,,Spatangoida,265
,,,,,,Not assigned,4
,,,,,,Holasteroida,52
,,,,,,Echinolampadoida,14
,,,,,,Salenioida,15
,,,,,,Cassiduloida,14
,,,,,,Echinothurioida,60
,,,,,,Echinoneoida,3
,,,,,,Stomopneustoida,1
,,,,,,Diadematoida,33
,,,,,,Clypeasteroida,137
,,,,,,Cidaroida,153
,,,,Asteroidea,1895,Notomyotida,70
,,,,,,Valvatida,789
,,,,,,Forcipulatida,274
,,,,,,Not assigned,2
,,,,,,Peripodida,3
,,,,,,Paxillosida,371
,,,,,,Brisingida,108
,,,,,,Velatida,142
,,,,,,Spinulosida,136
,,,,Ophiuroidea,2090,Ophiacanthida,508
,,,,,,Ophioleucida,20
,,,,,,Ophiurida,399
,,,,,,Ophioscolecida,59
,,,,,,Amphilepidida,912
,,,,,,Euryalida,192
,,,,Holothuroidea,1742,Persiculida,39
,,,,,,Molpadida,102
,,,,,,Elasipodida,152
,,,,,,Dendrochirotida,776
,,,,,,Synallactida,129
,,,,,,Apodida,313
,,,,,,Holothuriida,231
,,Cnidaria,11148,Anthozoa,7127,Scleractinia,1607
,,,,,,Antipatharia,267
,,,,,,Alcyonacea,3408
,,,,,,Actiniaria,1138
,,,,,,Zoantharia,288
,,,,,,Spirularia,98
,,,,,,Pennatulacea,229
,,,,,,Penicillaria,38
,,,,,,Helioporacea,6
,,,,,,Corallimorpharia,48
,,,,Hydrozoa,3730,Leptothecata,2077
,,,,,,Anthoathecata,1303
,,,,,,Actinulida,10
,,,,,,Narcomedusae,43
,,,,,,Siphonophorae,188
,,,,,,Trachymedusae,53
,,,,,,Limnomedusae,56
,,,,Staurozoa,50,Stauromedusae,50
,,,,Scyphozoa,194,Semaeostomeae,65
,,,,,,Rhizostomeae,76
,,,,,,Coronatae,53
,,,,Cubozoa,47,Chirodropida,14
,,,,,,Carybdeida,33
,,Brachiopoda,396,Rhynchonellata,355,Terebratulida,294
,,,,,,Thecideida,23
,,,,,,Rhynchonellida,38
,,,,Lingulata,25,Lingulida,25
,,,,Craniata,16,Craniida,16
,,Nematomorpha,356,Gordioida,356,Gordioidea,356
,,Myxozoa,194,Myxosporea,194,Multivalvulida,12
,,,,,,Bivalvulida,182
,,Rotifera,2014,Eurotatoria,2011,Flosculariaceae,154
,,,,,,Collothecacea,53
,,,,,,Ploima,1416
,,,,,,Bdelloidea,388
,,,,Pararotatoria,3,Seisonacea,3
,,Porifera,9092,Hexactinellida,664,Lyssacinosida,325
,,,,,,Sceptrulophora,150
,,,,,,Amphidiscosida,170
,,,,,,Lychniscosida,7
,,,,,,Not assigned,12
,,,,Calcarea,775,Leucosolenida,510
,,,,,,Baerida,18
,,,,,,Lithonida,18
,,,,,,Clathrinida,225
,,,,,,Murrayonida,4
,,,,Homoscleromorpha,120,Homosclerophorida,120
,,,,Demospongiae,7532,Verongiida,91
,,,,,,Polymastiida,128
,,,,,,Tetractinellida,1124
,,,,,,Axinellida,561
,,,,,,Tethyida,201
,,,,,,Clionaida,202
,,,,,,Haplosclerida,1101
,,,,,,Poecilosclerida,2308
,,,,,,Chondrillida,42
,,,,,,Spongillida,257
,,,,,,Suberitida,500
,,,,,,Sphaerocladina,3
,,,,,,Dictyoceratida,540
,,,,,,Trachycladida,10
,,,,,,Desmacellida,36
,,,,,,Bubarida,104
,,,,,,Chondrosiida,10
,,,,,,Merliida,36
,,,,,,Biemnida,103
,,,,,,Scopalinida,31
,,,,,,Dendroceratida,72
,,,,,,Agelasida,68
,,,,,,Not assigned,4
,,,,Not assigned,1,Not assigned,1
,,Platyhelminthes,18616,Trematoda,5975,Not assigned,19
,,,,,,Stichocotylida,1
,,,,,,Plagiorchiida,5500
,,,,,,Aspidogastrida,60
,,,,,,Diplostomida,395
,,,,Not assigned,5706,Tricladida,1779
,,,,,,Rhabdocoela,1744
,,,,,,Prorhynchida,30
,,,,,,Proseriata,459
,,,,,,Prolecithophora,197
,,,,,,Not assigned,188
,,,,,,Polycladida,1012
,,,,,,Macrostomorpha,191
,,,,,,Gnosonesimida,6
,,,,,,Dolichomicrostomida,79
,,,,,,Fecampiida,17
,,,,,,Bothrioplanida,4
,,,,Monogenea,4995,Mazocraeidea,893
,,,,,,Gyrodactylidea,632
,,,,,,Capsalidea,235
,,,,,,Monocotylidea,198
,,,,,,Polystomatidea,33
,,,,,,Dactylogyridea,2924
,,,,,,Chimaericolidea,5
,,,,,,Montchadskyellidea,1
,,,,,,Diclybothriidea,74
,,,,Cestoda,1940,Amphilinidea,10
,,,,,,Onchoproteocephalidea,333
,,,,,,Cathetocephalidea,6
,,,,,,Spathebothriidea,9
,,,,,,Lecanicephalidea,96
,,,,,,Diphyllobothriidea,81
,,,,,,Rhinebothriidea,189
,,,,,,Tetraphyllidea,134
,,,,,,Tetrabothriidea,79
,,,,,,Bothriocephalidea,147
,,,,,,Phyllobothriidea,164
,,,,,,Cyclophyllidea,247
,,,,,,Gyrocotylidea,12
,,,,,,Diphyllidea,63
,,,,,,Haplobothriidea,2
,,,,,,Caryophyllidea,4
,,,,,,Not assigned,1
,,,,,,Litobothriidea,9
,,,,,,Nippotaeniidea,6
,,,,,,Trypanorhyncha,348
,,Phoronida,19,Not assigned,19,Not assigned,19
,,Placozoa,2,Not assigned,2,Not assigned,2
,,Gnathostomulida,100,Not assigned,100,Filospermoidea,28
,,,,,,Bursovaginoidea,72
,,Gastrotricha,852,Not assigned,852,Chaetonotida,481
,,,,,,Macrodasyida,371
,,Dicyemida,122,Rhombozoa,122,Not assigned,122
,,Ctenophora,200,Nuda,26,Beroida,26
,,Ctenophora,200,Tentaculata,174,Cambojiida,1
,,,,,,Ganeshida,2
,,,,,,Cryptolobiferida,2
,,,,,,Cestida,2
,,,,,,Platyctenida,49
,,,,,,Cydippida,72
,,,,,,Lobata,45
,,,,,,Thalassocalycida,1
,,Chaetognatha,132,Sagittoidea,132,Phragmophora,66
,,,,,,Aphragmophora,66
Fungi,146155,Ascomycota,92725,Pezizomycetes,2788,Pezizales,2788
Fungi,146155,Ascomycota,92725,Dothideomycetes,31033,Botryosphaeriales,4282
,,,,,,Microthyriales,884
,,,,,,Jahnulales,38
,,,,,,Superstratomycetales,4
,,,,,,Bezerromycetales,3
,,,,,,Neocelosporiales,1
,,,,,,Dyfrolomycetales,9
,,,,,,Stigmatodiscales,7
,,,,,,Natipusillales,4
,,,,,,Minutisphaerales,4
,,,,,,Cladoriellales,5
,,,,,,Tirisporellales,2
,,,,,,Zeloasperisporiales,8
,,,,,,Phaeotrichales,11
,,,,,,Collemopsidiales,50
,,,,,,Abrothallales,41
,,,,,,Acrospermales,52
,,,,,,Asterotexales,2
,,,,,,Venturiales,530
,,,,,,Myriangiales,374
,,,,,,Mytilinidiales,171
,,,,,,Hysteriales,169
,,,,,,Trypetheliales,478
,,,,,,Muyocopronales,63
,,,,,,Pleosporales,10142
,,,,,,Not assigned,2907
,,,,,,Capnodiales,7553
,,,,,,Asterinales,1569
,,,,,,Dothideales,795
,,,,,,Monoblastiales,82
,,,,,,Eremithallales,44
,,,,,,Lichenotheliales,11
,,,,,,Patellariales,141
,,,,,,Tubeufiales,453
,,,,,,Lichenoconiales,16
,,,,,,Valsariales,42
,,,,,,Strigulales,86
,,,,Archaeorhizomycetes,2,Archaeorhizomycetales,2
,,,,Pneumocystomycetes,7,Pneumocystales,7
,,,,Schizosaccharomycetes,5,Schizosaccharomycetales,5
,,,,Neolectomycetes,5,Neolectales,5
,,,,Laboulbeniomycetes,2395,Not assigned,2
,,,,,,Herpomycetales,26
,,,,,,Laboulbeniales,2333
,,,,,,Pyxidiophorales,34
,,,,Lecanoromycetes,11207,Turquoiseomycetales,1
,,,,,,Graphidales,2
,,,,,,Hymeneliales,22
,,,,,,Schaereriales,11
,,,,,,Baeomycetales,22
,,,,,,Lecanorales,4104
,,,,,,Pertusariales,634
,,,,,,Ostropales,3018
,,,,,,Caliciales,910
,,,,,,Acarosporales,141
,,,,,,Rhizocarpales,84
,,,,,,Not assigned,249
,,,,,,Arctomiales,9
,,,,,,Peltigerales,916
,,,,,,Lecideales,237
,,,,,,Umbilicariales,107
,,,,,,Teloschistales,740
,,,,Eurotiomycetes,3810,Sclerococcales,3
,,,,,,Phaeomoniellales,18
,,,,,,Coryneliales,58
,,,,,,Verrucariales,590
,,,,,,Chaetothyriales,691
,,,,,,Not assigned,105
,,,,,,Onygenales,428
,,,,,,Eurotiales,1493
